rank,team_name,current_strength_score,recent_form_score,recent_goal_difference_score,host_advantage_score,matches_used,points_per_match,wins,draws,losses,goals_for,goals_against,average_goal_difference,latest_match_date,is_2026_host
1,Morocco,75.5,86.67,76.67,0,20,2.6,16,4,0,38,6,1.6,2026-05-26,0
2,Spain,71.58,80,78.33,0,20,2.4,14,6,0,53,19,1.7,2026-03-31,0
3,Canada,70,66.67,66.67,100,20,2,11,7,2,30,10,1,2026-06-01,1
4,England,69.63,76.67,79.17,0,20,2.3,15,1,4,46,11,1.75,2026-03-31,0
5,Japan,69.58,75,83.33,0,20,2.25,14,3,3,48,8,2,2026-05-31,0
6,Norway,69.58,75,83.33,0,20,2.25,14,3,3,59,19,2,2026-06-01,0
7,Algeria,68.79,76.67,75.83,0,20,2.3,14,4,2,43,12,1.55,2026-03-31,0
8,Russia,68.5,73.33,83.33,0,20,2.2,13,5,2,52,12,2,2026-05-28,0
9,Mexico,68.34,66.67,60,100,20,2,11,7,2,25,13,0.6,2026-05-30,1
10,Argentina,68.13,75,77.5,0,20,2.25,14,3,3,43,10,1.65,2026-03-31,0
11,Senegal,67.92,75,76.67,0,20,2.25,14,3,3,47,15,1.6,2026-05-31,0
12,Ivory Coast,66.41,73.33,75,0,20,2.2,14,2,4,40,10,1.5,2026-03-31,0
13,Germany,64.25,70,75,0,20,2.1,13,3,4,51,21,1.5,2026-05-31,0
14,DR Congo,63.91,73.33,65,0,20,2.2,14,2,4,29,11,0.9,2026-03-31,0
15,Iran,63.21,70,70.83,0,20,2.1,13,3,4,43,18,1.25,2026-05-29,0
16,France,62.38,70,67.5,0,20,2.1,13,3,4,42,21,1.05,2026-03-29,0
17,Austria,62.09,66.67,75,0,20,2,12,4,4,45,15,1.5,2026-06-01,0
18,Turkey,61.75,70,65,0,20,2.1,13,3,4,41,23,0.9,2026-06-01,0
19,Nigeria,61.29,68.33,67.5,0,20,2.05,11,8,1,37,16,1.05,2026-03-31,0
20,Portugal,61.25,66.67,71.67,0,20,2,11,7,2,44,18,1.3,2026-03-31,0
21,South Korea,60.25,68.33,63.33,0,20,2.05,12,5,3,35,19,0.8,2026-05-30,0
22,Netherlands,59.91,63.33,75,0,20,1.9,10,8,2,51,21,1.5,2026-03-31,0
23,New Zealand,59.83,60,83.33,0,20,1.8,11,3,6,55,15,2,2026-03-30,0
24,Egypt,58.96,66.67,62.5,0,20,2,11,7,2,26,11,0.75,2026-05-28,0
25,Haiti,58.42,61.67,73.33,0,20,1.85,11,4,5,50,22,1.4,2026-03-31,0
26,United States,58.21,53.33,54.17,100,20,1.6,10,2,8,35,30,0.25,2026-05-31,1
27,Croatia,58.04,63.33,67.5,0,20,1.9,11,5,4,42,21,1.05,2026-03-31,0
28,Australia,56.96,61.67,67.5,0,20,1.85,11,4,5,36,15,1.05,2026-05-30,0
29,Cameroon,56.79,63.33,62.5,0,20,1.9,11,5,4,27,12,0.75,2026-03-31,0
30,Tunisia,55.46,60,65.83,0,20,1.8,10,6,4,35,16,0.95,2026-06-01,0
31,Italy,55.29,61.67,60.83,0,20,1.85,11,4,5,42,29,0.65,2026-03-31,0
32,Uzbekistan,55.29,61.67,60.83,0,20,1.85,10,7,3,28,15,0.65,2026-06-01,0
33,Brazil,55.25,60,65,0,20,1.8,10,6,4,35,17,0.9,2026-05-31,0
34,South Africa,55.25,60,65,0,20,1.8,10,6,4,33,15,0.9,2026-05-29,0
35,Czech Republic,54,60,60,0,20,1.8,10,6,4,36,24,0.6,2026-05-31,0
36,Greece,53.33,58.33,61.67,0,20,1.75,11,2,7,35,21,0.7,2026-03-31,0
37,Panama,53.17,60,56.67,0,20,1.8,10,6,4,34,26,0.4,2026-05-31,0
38,Yugoslavia,52.46,56.67,62.5,0,20,1.7,10,4,6,37,22,0.75,1992-03-25,0
39,Curaçao,52.21,55,65.83,0,20,1.65,9,6,5,40,21,0.95,2026-05-30,0
40,Denmark,51.79,55,64.17,0,20,1.65,9,6,5,39,22,0.85,2026-03-31,0
41,Jamaica,51.63,56.67,59.17,0,20,1.7,10,4,6,28,17,0.55,2026-03-31,0
42,Romania,50.96,55,60.83,0,20,1.65,10,3,7,37,24,0.65,2026-03-31,0
43,German DR,50.79,56.67,55.83,0,20,1.7,10,4,6,34,27,0.35,1990-09-12,0
44,Sweden,50.54,55,59.17,0,20,1.65,10,3,7,41,30,0.55,2026-06-01,0
45,Ecuador,50.33,55,58.33,0,20,1.65,7,12,1,18,8,0.5,2026-05-30,0
46,Belgium,49.58,50,68.33,0,20,1.5,8,6,6,45,23,1.1,2026-03-31,0
47,Switzerland,49,51.67,61.67,0,20,1.55,8,7,5,40,26,0.7,2026-05-31,0
48,Honduras,48.88,55,52.5,0,20,1.65,9,6,5,25,22,0.15,2026-03-31,0
49,Cape Verde,48.41,53.33,55,0,20,1.6,9,5,6,28,22,0.3,2026-05-31,0
50,Wales,47.54,51.67,55.83,0,20,1.55,8,7,5,32,25,0.35,2026-03-31,0
51,Republic of Ireland,47.37,53.33,50.83,0,20,1.6,9,5,6,25,24,0.05,2026-05-28,0
52,Slovakia,46.96,53.33,49.17,0,20,1.6,10,2,8,25,26,-0.05,2026-06-01,0
53,Costa Rica,46.83,48.33,61.67,0,20,1.45,7,8,5,44,30,0.7,2026-06-01,0
54,Colombia,46.62,48.33,60.83,0,20,1.45,8,5,7,36,23,0.65,2026-06-01,0
55,Poland,46.29,51.67,50.83,0,20,1.55,9,4,7,31,30,0.05,2026-05-31,0
56,Iraq,45.88,51.67,49.17,0,20,1.55,9,4,7,20,21,-0.05,2026-05-29,0
57,Angola,45.83,50,53.33,0,20,1.5,7,9,4,21,17,0.2,2025-12-29,0
58,Ukraine,45.46,51.67,47.5,0,20,1.55,9,4,7,27,30,-0.15,2026-05-31,0
59,Scotland,44.96,48.33,54.17,0,20,1.45,9,2,9,30,25,0.25,2026-05-30,0
60,United Arab Emirates,44.09,46.67,55,0,20,1.4,7,7,6,29,23,0.3,2025-12-15,0
61,Paraguay,43.71,48.33,49.17,0,20,1.45,8,5,7,21,22,-0.05,2026-03-31,0
62,Jordan,43.67,46.67,53.33,0,20,1.4,8,4,8,33,29,0.2,2026-05-31,0
63,Northern Ireland,43.04,46.67,50.83,0,20,1.4,8,4,8,26,25,0.05,2026-03-31,0
64,Czechoslovakia,42.33,43.33,56.67,0,20,1.3,6,8,6,34,26,0.4,1993-11-17,0
65,Ghana,41.5,43.33,53.33,0,20,1.3,7,5,8,30,26,0.2,2026-05-22,0
66,El Salvador,40.92,45,46.67,0,20,1.35,8,3,9,20,24,-0.2,2025-11-18,0
67,Saudi Arabia,40.92,45,46.67,0,20,1.35,8,3,9,21,25,-0.2,2026-05-30,0
68,Slovenia,40.92,45,46.67,0,20,1.35,6,9,5,17,21,-0.2,2026-03-31,0
69,Uruguay,40.66,43.33,50,0,20,1.3,5,11,4,17,17,0,2026-03-31,0
70,Serbia,40.29,45,44.17,0,20,1.35,7,6,7,17,24,-0.35,2026-05-31,0
71,Bolivia,39.67,45,41.67,0,20,1.35,8,3,9,21,31,-0.5,2026-03-31,0
72,Bosnia and Herzegovina,39.17,41.67,48.33,0,20,1.25,6,7,7,28,30,-0.1,2026-05-29,0
73,Israel,36.42,40,41.67,0,20,1.2,7,3,10,32,42,-0.5,2026-03-26,0
74,Indonesia,36.37,38.33,45.83,0,20,1.15,6,5,9,25,30,-0.25,2026-03-30,0
75,Trinidad and Tobago,36.16,38.33,45,0,20,1.15,5,8,7,29,35,-0.3,2026-05-30,0
76,Hungary,36,40,40,0,20,1.2,6,6,8,20,32,-0.6,2026-03-31,0
77,Chile,34.88,36.67,44.17,0,20,1.1,6,4,10,23,30,-0.35,2026-03-30,0
78,Togo,34.88,36.67,44.17,0,20,1.1,5,7,8,19,26,-0.35,2025-10-13,0
79,China PR,31.66,33.33,40,0,20,1,5,5,10,18,30,-0.6,2026-03-31,0
80,Iceland,31.42,31.67,43.33,0,20,0.95,5,4,11,31,39,-0.4,2026-05-31,0
81,Bulgaria,30.62,33.33,35.83,0,20,1,5,5,10,22,39,-0.85,2026-06-01,0
82,Qatar,28.67,30,36.67,0,20,0.9,4,6,10,23,39,-0.8,2026-05-28,0
83,Cuba,28.29,31.67,30.83,0,20,0.95,5,4,11,18,41,-1.15,2025-10-11,0
84,Kuwait,27.58,28.33,36.67,0,20,0.85,3,8,9,23,39,-0.8,2025-12-09,0
85,North Korea,27.08,25,43.33,0,20,0.75,3,6,11,23,31,-0.4,2025-06-10,0
86,Peru,23.46,21.67,37.5,0,20,0.65,2,7,11,10,25,-0.75,2026-03-31,0
